,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18997,967,52636,245,b'GALAXY',b'STARFORMING',0.06566861,183.8909,41.46791,34.93137,48.71026,6.83477,42.90676,30.15788,-29.9156,-8.032907
18998,968,52412,253,b'GALAXY',b'STARFORMING',0.05545013,194.0024,52.84906,47.55486,31.45086,10.54795,46.20943,32.78822,-39.08799,-4.334828
18999,968,52412,500,b'GALAXY',b'STARFORMING',0.03308752,213.3893,60.40295,40.40448,51.99164,10.72532,58.22323,38.27289,-23.13846,-5.674345
19000,969,52442,557,b'GALAXY',b'STARBURST',0.02330529,682.5354,226.7706,665.204,48.72668,18.37795,95.08962,64.32576,-71.43364,-5.298788
19001,970,52413,92,b'GALAXY',b'STARBURST',0.04481793,797.9258,226.2802,143.0902,229.0069,18.91302,150.9963,109.3222,-65.58622,-18.51327
19002,970,52413,238,b'GALAXY',b'AGN',0.1303659,312.9835,77.35342,194.0096,215.8836,23.51317,80.53969,60.0784,-24.58111,-16.77692
19003,970,52413,323,b'GALAXY',b'AGN',0.1509112,431.7192,97.21069,450.8613,296.9073,24.29764,110.7144,66.60069,-23.37736,-15.91983
19004,972,52428,627,b'GALAXY',b'STARBURST',0.106801,448.8138,124.4928,73.19376,116.7606,15.83453,91.66816,62.34802,-53.14574,-13.66881
19005,973,52426,126,b'GALAXY',b'AGN',0.06504007,324.8537,84.07243,445.3835,403.9323,111.6603,183.7667,155.3617,-10.67456,-12.31131
19006,973,52426,328,b'GALAXY',b'STARFORMING',0.05891194,834.0001,197.3286,33.77678,394.0906,15.36402,85.57529,83.36367,-39.08931,-18.70273
19007,974,52427,135,b'GALAXY',b'STARFORMING',0.08446144,237.5702,63.28573,17.95597,72.49089,10.9113,48.53292,28.42166,-24.21942,-7.387579
19008,976,52413,419,b'GALAXY',b'STARFORMING',0.1012591,302.0878,50.71539,16.14562,111.7427,11.10466,53.7602,36.9022,-24.71143,-9.324137
19009,978,52431,301,b'GALAXY',b'STARFORMING',0.1598941,451.9961,108.4448,75.31863,247.3072,26.77105,81.36768,62.19686,-24.63686,-13.4498
19010,978,52441,468,b'GALAXY',b'STARBURST',0.07813329,801.5976,242.1084,558.256,103.6786,14.93647,88.31261,64.58494,-119.6668,-16.1424
19011,979,52427,95,b'GALAXY',b'AGN',0.1780233,506.0214,120.5418,311.019,432.4199,56.18826,164.0804,143.7599,-25.14547,-19.454
19012,979,52427,453,b'GALAXY',b'STARBURST',0.1554853,1049.776,330.5693,1122.094,78.34963,26.84977,106.6549,76.6414,-170.6555,-14.33547
19013,981,52435,203,b'GALAXY',b'STARBURST',0.1166694,387.0937,132.302,135.0581,88.17323,14.21177,78.3275,55.29861,-54.79396,-13.84804
19014,982,52466,39,b'GALAXY',b'STARFORMING',0.07297762,212.32,61.35193,16.55037,70.50605,8.319099,44.46385,30.76359,-21.57707,-7.029369
19015,983,52443,381,b'GALAXY',b'STARFORMING',0.1057663,215.9947,66.31293,130.0087,101.8213,25.18809,46.91055,33.51543,-12.71447,-6.12384
19016,983,52443,575,b'GALAXY',b'STARFORMING',0.06015247,354.579,86.30196,43.91349,118.4321,11.59921,63.17691,46.62383,-36.20742,-12.44491
19017,985,52431,527,b'GALAXY',b'STARBURST',0.05815225,566.8304,166.9454,101.2295,163.4084,18.00199,113.3128,77.88316,-46.14217,-13.393
19018,986,52443,5,b'GALAXY',b'STARBURST',0.05062076,344.5313,111.2737,189.1201,47.80062,11.1835,62.92576,43.88329,-48.82989,-7.26195
19019,986,52443,436,b'GALAXY',b'AGN',0.07050085,451.8358,90.83644,486.5114,333.5836,55.53609,90.20195,89.18051,-30.58771,-20.64994
19020,987,52523,227,b'GALAXY',b'AGN',0.06205438,158.8318,29.46729,89.63255,191.6978,30.1347,75.34229,48.32044,-7.218253,-8.062658
19021,989,52468,304,b'GALAXY',b'STARFORMING',0.02007375,236.2331,43.6969,11.90111,88.71245,7.997975,46.49001,32.73933,-21.45046,-8.063251
