,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
0,266,51602,156,b'GALAXY',b'AGN',0.03645882,135.4434,34.14171,105.4667,67.42683,10.73305,36.96299,31.64611,-22.38621,-11.56576
1,266,51630,158,b'GALAXY',b'AGN',0.03645184,145.3708,36.18832,114.1467,73.52751,9.397298,43.39631,26.49167,-23.64526,-11.91077
2,266,51602,239,b'QSO',b'AGN BROADLINE',0.06319997,326.3078,73.43578,171.3132,147.3758,29.39717,45.53933,34.00339,-15.11861,-7.846132
3,266,51602,504,b'GALAXY',b'STARBURST',0.03036829,1538.489,317.2462,82.9399,505.0709,34.58164,252.9476,179.6677,-57.50385,-18.78358
4,267,51608,47,b'GALAXY',b'AGN BROADLINE',0.1102809,960.9924,160.043,711.9967,708.8573,94.52248,254.3179,211.6468,-47.40646,-34.87457
5,267,51608,161,b'GALAXY',b'STARFORMING',0.106981,283.6448,70.57777,23.34986,106.8202,9.128121,51.64438,36.12083,-30.15765,-11.01121
6,268,51633,202,b'GALAXY',b'STARFORMING',0.1262092,575.7731,158.175,118.9729,185.7486,18.9952,118.1383,83.33763,-35.01572,-11.04002
7,268,51633,206,b'GALAXY',b'AGN',0.09104228,89.06319,19.6135,36.67346,114.1237,18.56967,38.56157,36.79688,-4.461447,-5.215376
8,268,51633,332,b'GALAXY',b'STARFORMING',0.06193933,169.3539,30.36158,12.0166,62.09657,7.404877,38.16954,26.18386,-21.7173,-7.615408
9,268,51633,608,b'GALAXY',b'STARFORMING',0.08107227,302.3946,68.59451,17.28612,104.6819,9.53024,51.53569,49.38479,-28.69223,-9.692334
10,269,51910,427,b'GALAXY',b'STARFORMING',0.04454955,448.1151,106.5143,27.09401,196.9852,15.99726,70.88669,57.93261,-30.85085,-13.62711
11,269,51910,521,b'GALAXY',b'STARBURST',0.06594614,1550.91,331.4507,128.002,640.8735,41.07338,236.4948,192.3444,-81.22048,-33.82898
12,270,51909,220,b'GALAXY',b'STARFORMING',0.06605411,364.9677,81.74656,61.76437,181.1795,16.09316,76.74274,58.75269,-14.66399,-7.052725
13,270,51909,233,b'GALAXY',b'STARFORMING',0.09598909,353.1573,98.78344,48.97398,113.609,13.55352,73.63857,49.07141,-35.96984,-11.50417
14,270,51909,325,b'GALAXY',b'STARFORMING',0.03249149,780.3043,161.0957,45.03998,265.6569,15.31121,141.8729,104.385,-30.35316,-10.13276
15,270,51909,492,b'GALAXY',b'STARFORMING',0.06985281,364.568,75.52629,29.98916,135.9868,12.9557,67.46703,52.18385,-22.60051,-8.581541
16,271,51883,80,b'GALAXY',b'STARFORMING',0.09470966,482.1153,115.9101,38.58523,158.3212,16.51134,89.57397,66.1195,-37.90469,-12.40853
17,271,51883,375,b'GALAXY',b'STARFORMING',0.07164954,236.6231,65.09435,42.85423,66.30852,7.298512,60.94049,40.74205,-24.62322,-6.742836
18,271,51883,388,b'GALAXY',b'AGN',0.09780669,215.872,53.03377,224.7898,256.5285,27.959,87.28344,68.69065,-11.32776,-13.29582
19,273,51957,418,b'GALAXY',b'STARBURST',0.1182065,560.6749,123.4587,55.63391,184.5627,14.72792,95.34555,74.11189,-51.19408,-16.64979
20,274,51913,402,b'GALAXY',b'STARFORMING',0.0590397,522.9574,118.672,91.83997,139.2502,19.05828,111.5675,77.49961,-33.95866,-9.235363
21,275,51910,267,b'GALAXY',b'STARBURST',0.1273446,522.7598,109.759,55.11606,152.0031,18.83328,106.5452,73.31917,-50.42452,-14.95133
22,275,51910,634,b'GALAXY',b'STARFORMING',0.03789995,674.1884,111.4826,75.56413,408.3515,31.39425,129.2689,107.7748,-12.81294,-7.535688
23,277,51908,352,b'GALAXY',b'STARBURST',0.03828512,1018.971,280.0794,554.3231,133.9462,25.46601,163.6476,114.6944,-93.30029,-12.50305
24,278,51900,431,b'GALAXY',b'STARFORMING',0.0251548,368.419,106.3144,101.9776,74.89113,11.62412,79.29321,55.64189,-42.72682,-8.785285
25,279,51608,33,b'GALAXY',b'STARFORMING',0.02496588,342.721,70.0379,53.2953,146.5104,26.23095,104.8564,72.37349,-17.56815,-8.033322
26,279,51984,106,b'GALAXY',b'STARFORMING',0.1001095,362.8783,86.07742,22.08569,143.0705,11.19264,52.6043,34.03054,-23.37486,-8.926427
27,279,51608,201,b'GALAXY',b'STARBURST',0.06926965,502.6577,145.4282,150.4333,105.2587,16.59672,98.38383,64.94779,-48.57693,-10.09433
28,279,51984,214,b'GALAXY',b'STARFORMING',0.07759329,409.6245,90.46963,45.24291,140.465,10.34465,78.0929,53.85198,-37.22504,-12.85995
29,279,51608,218,b'GALAXY',b'STARFORMING',0.06880429,383.5686,93.92294,279.3947,174.95,33.67754,121.3567,89.94869,-14.14496,-6.355734
30,280,51612,47,b'GALAXY',b'STARFORMING',0.04840347,181.3356,54.6286,53.89854,36.32268,8.383098,42.49244,27.30056,-35.67975,-6.830951
31,280,51612,456,b'GALAXY',b'STARFORMING',0.07139057,384.1853,92.62598,22.09333,132.7568,9.787725,59.8505,38.88064,-41.38394,-14.22464
32,281,51614,165,b'GALAXY',b'STARBURST',0.0624137,960.7659,273.9965,800.1556,113.1403,27.8077,124.0667,89.94749,-133.6139,-15.8077
33,281,51614,346,b'GALAXY',b'STARFORMING',0.07282509,475.2951,86.87457,76.61663,229.0085,20.79323,81.16644,53.6113,-17.39471,-8.298738
34,282,51658,49,b'GALAXY',b'STARFORMING',0.02075547,754.6693,139.396,38.6632,365.1445,16.33055,109.7917,93.44305,-19.26032,-9.255965
35,282,51658,308,b'GALAXY',b'STARFORMING',0.07702655,195.0654,43.38261,10.50216,71.39112,5.824581,36.26044,30.2975,-26.11109,-9.580322
36,282,51630,536,b'GALAXY',b'STARFORMING',0.1045345,301.8446,72.88736,22.58669,112.6239,8.884527,53.56779,33.22088,-36.85296,-12.4608
37,283,51959,629,b'GALAXY',b'STARBURST',0.1063574,370.7962,94.30235,60.42893,113.03,13.59164,69.05109,46.88532,-50.86441,-16.63566
38,284,51662,143,b'GALAXY',b'STARFORMING',0.1261014,872.9171,205.6654,72.44899,378.0976,26.52889,131.8171,106.6344,-28.82078,-12.38175
39,284,51943,227,b'GALAXY',b'STARBURST',0.108327,727.8988,218.1889,270.5497,157.2504,17.55819,93.14809,71.29307,-125.2552,-27.41784
40,284,51943,400,b'GALAXY',b'AGN',0.04735294,1058.512,243.1725,683.1379,993.5772,87.8308,272.6497,223.6153,-18.07607,-16.40109
41,284,51943,544,b'GALAXY',b'STARFORMING',0.1089804,485.3451,107.6918,38.82067,254.6367,17.46849,81.41241,64.54815,-29.5694,-15.57219
42,285,51663,343,b'GALAXY',b'STARBURST',0.003781181,14511.21,4266.413,2554.437,3580.823,96.77169,1506.825,1122.003,-99.84975,-25.05475
43,285,51930,348,b'GALAXY',b'STARBURST',0.003787203,13171.2,3685.008,2402.944,3451.395,65.08306,1286.022,972.5557,-89.34795,-23.62251
44,285,51930,508,b'GALAXY',b'STARBURST',0.1064584,521.4341,149.3365,365.5441,61.14948,19.61243,79.20702,58.20032,-125.4817,-16.40017
45,287,52023,425,b'GALAXY',b'STARBURST',0.1275354,326.6544,88.25003,87.16473,72.73027,12.92168,63.17377,43.23545,-69.62223,-15.39543
46,288,52000,450,b'GALAXY',b'STARBURST',0.1083982,777.5287,206.0671,180.0451,184.762,25.10888,139.2635,97.52657,-64.23463,-15.44678
47,289,51990,325,b'GALAXY',b'AGN',0.1040906,142.4951,34.92339,32.33367,108.4292,16.86961,49.82979,43.44157,-9.641336,-7.415645
48,289,51990,483,b'GALAXY',b'STARBURST',0.1081646,1431.263,338.9461,162.6382,556.8589,42.03193,223.2065,163.1414,-65.57256,-25.83993
49,290,51941,264,b'GALAXY',b'STARFORMING',0.07899421,212.264,51.54613,32.56072,113.5072,13.93327,54.08768,35.48408,-11.67037,-6.425383
50,290,51941,410,b'GALAXY',b'STARBURST',0.1890405,456.0645,98.87698,78.66149,134.7139,17.14427,74.29414,52.72354,-97.48277,-31.36186
51,290,51941,485,b'GALAXY',b'STARBURST',0.012473,365.1119,118.8385,272.7437,24.85622,10.23161,50.09467,35.63787,-57.90934,-4.091734
52,291,51660,169,b'GALAXY',b'STARBURST',0.1026862,1078.675,285.9942,628.1166,157.7813,32.40457,144.3019,104.518,-212.8908,-29.79044
53,291,51660,436,b'GALAXY',b'STARFORMING',0.1077584,548.1389,111.0716,30.57672,194.6815,17.07376,99.37339,63.38514,-38.95258,-12.82542
54,291,51928,597,b'GALAXY',b'AGN',0.07209855,356.2019,80.41984,224.7211,295.6472,17.32011,89.74348,72.1119,-13.02572,-10.63774
55,293,51994,505,b'GALAXY',b'STARFORMING',0.02226286,511.77,110.0755,22.78907,195.0908,16.59991,97.17665,65.52942,-17.21905,-6.718311
56,294,51986,7,b'GALAXY',b'STARBURST',0.07495255,513.2643,158.942,364.8232,51.10118,15.44911,82.16232,56.52596,-107.7189,-11.48567
57,294,51986,277,b'GALAXY',b'STARBURST',0.1242364,990.5547,200.2449,65.21345,471.2166,26.10024,138.4973,115.3332,-63.85232,-28.55753
58,294,51986,455,b'GALAXY',b'STARBURST',0.08107644,1240.265,244.421,68.45794,567.2439,38.72985,205.4095,150.9092,-50.68236,-22.93893
59,295,51985,15,b'GALAXY',b'STARFORMING',0.07412753,196.7488,68.18669,93.16248,35.2988,10.20574,43.71066,32.03221,-36.38916,-6.529464
60,295,51985,398,b'GALAXY',b'STARFORMING',0.1237067,344.1086,98.73946,89.21531,79.0955,14.28859,72.46602,51.73885,-41.15121,-9.664406
61,296,51984,78,b'GALAXY',b'STARFORMING',0.05464414,214.4465,58.75526,91.01888,59.1543,7.479358,41.13275,25.15186,-31.56526,-9.001773
62,296,51665,224,b'GALAXY',b'STARFORMING',0.08227807,319.056,73.53632,49.26358,170.1965,11.58954,52.71786,41.4251,-19.15489,-10.29623
63,297,51663,133,b'GALAXY',b'',0.07291006,69.14116,25.68395,32.84347,51.19431,17.5302,47.97574,34.18737,-2.942522,-1.983878
64,297,51959,240,b'GALAXY',b'STARBURST',0.1992645,451.0336,102.8875,35.10019,195.7537,15.66678,74.44087,59.75557,-38.61747,-16.72529
65,297,51959,288,b'GALAXY',b'STARBURST',0.09498882,1001.936,238.9338,72.75675,480.7124,25.88706,144.8169,105.4905,-52.17918,-24.96191
66,297,51959,425,b'GALAXY',b'STARFORMING',0.07943771,260.7321,43.72587,38.94163,88.65886,15.77875,55.61213,39.2942,-25.80229,-8.96647
67,298,51955,91,b'GALAXY',b'STARBURST',0.07706822,420.6653,138.3339,244.3443,93.7951,9.082783,64.45581,46.53281,-56.12017,-13.13096
68,298,51955,252,b'GALAXY',b'STARFORMING',0.112917,344.1469,82.28078,12.7104,139.1587,9.764855,47.73053,35.13105,-21.7586,-9.016674
69,298,51955,463,b'GALAXY',b'STARBURST',0.08304774,479.4827,145.5884,278.9014,68.15604,17.31356,77.42317,59.91501,-77.84019,-11.07162
70,299,51671,15,b'GALAXY',b'AGN',0.1664282,341.9036,79.0724,370.9975,202.9764,22.29576,69.56316,58.18742,-34.37136,-20.23148
71,299,51671,625,b'GALAXY',b'AGN',0.1798261,539.9409,149.0451,1714.791,378.056,66.21791,155.039,156.3287,-61.52528,-39.71846
72,300,51943,153,b'GALAXY',b'STARBURST',0.2027322,735.7029,132.245,43.50875,296.771,19.76369,97.71165,73.46038,-40.4101,-21.21889
73,300,51943,479,b'GALAXY',b'STARFORMING',0.115704,202.7265,45.09527,15.49842,91.16024,6.839602,37.34908,27.53973,-29.10795,-12.10974
74,300,51943,578,b'GALAXY',b'STARFORMING',0.07079218,143.9284,44.18716,41.81372,34.12962,6.628536,32.55598,23.49999,-39.1162,-9.356333
75,302,51688,155,b'GALAXY',b'AGN',0.1722034,68.18105,19.62876,23.25235,68.20021,14.67719,33.89943,23.09948,-5.773082,-4.40755
76,302,51688,565,b'GALAXY',b'STARFORMING',0.02542609,1504.705,317.2755,113.1897,690.8226,37.06704,265.6563,200.0159,-20.04074,-9.029984
77,303,51615,205,b'QSO',b'STARBURST BROADLINE',0.07009463,229.9644,43.55925,185.3784,209.69,21.40225,60.08012,46.80371,-9.135962,-8.898695
78,303,51615,311,b'GALAXY',b'STARFORMING',0.1292993,827.6835,195.5263,71.56497,314.9309,20.66089,126.3504,96.73954,-36.99522,-13.87853
79,303,51615,427,b'GALAXY',b'STARBURST',0.05435113,2262.191,657.9933,757.8856,679.9447,58.63363,353.0678,275.2151,-73.05269,-22.04837
80,303,51615,474,b'GALAXY',b'STARBURST',0.04741336,1836.247,376.9085,148.1902,982.3893,41.18183,249.8503,216.2206,-58.45654,-31.06849
81,303,51615,615,b'GALAXY',b'STARBURST',0.02545066,566.0535,160.6511,194.1514,106.7434,17.48593,110.4549,85.09869,-44.91274,-8.627288
82,304,51609,20,b'GALAXY',b'STARBURST',0.03182963,1671.735,512.8215,1661.427,117.1861,42.05842,190.211,140.8629,-176.7729,-12.8642
83,304,51957,224,b'GALAXY',b'STARBURST',0.122752,1054.508,166.9509,52.5927,407.651,26.18656,138.227,109.1302,-45.13756,-17.35118
84,305,51613,245,b'GALAXY',b'AGN',0.05047373,123.1392,31.02108,134.1179,133.4634,15.69463,37.23305,31.45794,-4.29524,-4.644535
85,306,51637,93,b'GALAXY',b'STARFORMING',0.05568828,152.9167,32.00562,19.55342,57.34784,10.20751,38.3867,27.65732,-17.39433,-6.857933
86,306,51690,203,b'GALAXY',b'STARFORMING',0.08274971,312.5817,73.46253,16.74613,105.414,10.9492,52.6535,34.47623,-28.64135,-9.815988
87,306,51637,293,b'GALAXY',b'STARFORMING',0.1370553,283.2203,69.3474,24.02443,88.29565,11.05519,50.18806,32.78188,-32.33848,-9.773844
88,306,51690,560,b'GALAXY',b'STARBURST',0.05229118,1127.563,289.9519,198.6566,303.027,31.79067,217.593,160.7072,-47.14042,-12.67396
89,308,51662,126,b'GALAXY',b'',0.0830382,124.7287,21.56975,32.40889,179.2736,18.45521,40.88524,23.93374,-5.046355,-6.928875
90,308,51662,362,b'GALAXY',b'STARFORMING',0.0279895,446.3169,93.9249,34.07735,152.0914,15.30654,102.1267,72.27724,-16.45716,-5.674935
91,308,51662,396,b'GALAXY',b'STARBURST',0.1981742,613.7531,143.0783,110.2479,181.7874,19.81645,92.22937,70.31828,-76.45355,-21.97239
92,308,51662,420,b'GALAXY',b'STARFORMING',0.05823163,628.9184,179.7349,77.10466,227.1856,12.4643,113.2376,85.34913,-33.38278,-12.57248
93,308,51662,526,b'GALAXY',b'STARFORMING',0.04968249,130.6037,25.31017,22.54353,37.0556,7.918043,35.88105,24.8897,-19.59782,-5.142606
94,308,51662,543,b'GALAXY',b'STARFORMING',0.04118289,105.2823,34.57704,63.61168,31.4429,11.37318,32.77453,27.22923,-7.858117,-2.093842
95,309,51994,138,b'GALAXY',b'STARFORMING',0.07641787,168.0502,37.0725,12.03124,70.22706,6.281835,42.93714,29.51115,-19.02541,-8.018041
96,309,51666,182,b'GALAXY',b'STARFORMING',0.04842507,378.6682,103.0699,75.30073,93.7709,11.4107,86.67268,58.49727,-35.01136,-8.25891
97,309,51994,290,b'GALAXY',b'STARFORMING',0.03490061,123.9599,42.41796,62.81515,14.14483,8.582576,31.65514,18.15808,-18.24519,-2.019784
98,309,51666,456,b'GALAXY',b'STARBURST',0.04279024,477.8671,129.0586,93.47372,143.5443,12.41446,94.55858,67.3532,-50.21017,-15.64166
99,311,51665,7,b'GALAXY',b'STARFORMING',0.03726918,170.6512,41.76191,49.15565,29.10841,13.38337,45.4801,31.32939,-22.11211,-4.7393
100,311,51665,425,b'GALAXY',b'STARBURST',0.1048496,365.4202,95.98566,60.64744,108.2373,11.30771,70.6616,47.48525,-59.30561,-16.44676
101,312,51689,201,b'GALAXY',b'STARBURST',0.05557789,663.6941,201.442,626.1171,49.16406,16.54046,78.02402,52.25419,-125.899,-9.103525
102,312,51689,222,b'GALAXY',b'STARFORMING',0.05019719,285.5495,91.61838,29.0719,95.58816,7.488144,64.43822,43.7906,-31.81557,-10.40127
103,312,51689,637,b'GALAXY',b'AGN',0.1223376,193.9719,46.14324,88.06647,132.9041,13.32154,34.46616,27.53505,-12.73043,-8.506634
104,313,51673,358,b'GALAXY',b'STARFORMING',0.07507495,424.9228,110.8553,51.58422,127.1199,11.21007,88.25119,61.80741,-39.28063,-11.82144
105,314,51641,138,b'GALAXY',b'STARFORMING',0.07156464,481.7498,59.47313,38.23096,219.0309,25.93729,107.5366,77.33709,-29.21958,-13.28316
106,314,51641,190,b'GALAXY',b'STARFORMING',0.07359697,301.1716,49.26764,17.43982,171.0048,14.1757,49.51889,41.05652,-19.55304,-11.43931
107,327,52294,343,b'GALAXY',b'STARBURST',0.0333835,992.1408,266.1159,161.0693,320.1252,22.70523,193.5306,134.0226,-45.07991,-14.68586
108,328,52282,168,b'GALAXY',b'STARFORMING',0.04863245,267.366,75.48348,145.9964,35.99637,13.01536,48.25722,32.64269,-24.62071,-3.571223
109,328,52282,198,b'GALAXY',b'STARFORMING',0.05287267,176.0563,51.28141,45.21723,38.08764,6.600015,39.00482,26.7481,-25.84405,-5.634737
110,328,52282,445,b'GALAXY',b'STARBURST',0.04525563,280.878,61.98371,42.4883,91.77757,11.48849,61.58871,44.04198,-27.20684,-7.984998
111,329,52056,633,b'GALAXY',b'STARBURST',0.003470415,13303.05,4711.918,25406.11,303.8357,140.2638,623.5158,477.2107,-976.7424,-18.17618
112,330,52370,60,b'GALAXY',b'STARFORMING',0.09826209,500.3038,98.23652,51.07119,167.0567,16.4889,76.22727,53.09786,-39.5586,-13.0694
113,332,52367,368,b'GALAXY',b'STARFORMING',0.1072012,409.6267,79.59071,33.77385,152.5091,14.92359,69.19358,50.93752,-30.14268,-11.41592
114,333,52313,6,b'GALAXY',b'STARFORMING',0.07258581,357.1202,58.34791,24.69554,181.9803,18.31006,56.34731,42.11836,-18.79452,-9.632841
115,333,52313,454,b'GALAXY',b'STARFORMING',0.07968358,322.0497,85.67702,47.63632,87.44169,10.36476,69.18993,45.55126,-35.24266,-9.520724
116,333,52313,556,b'GALAXY',b'STARBURST',0.06826349,531.2194,129.1317,52.61768,178.2102,13.08579,98.62187,73.14419,-41.68695,-13.68119
117,334,51993,343,b'GALAXY',b'STARBURST',0.07647651,254.8246,61.39208,45.59846,62.20613,7.588881,55.47738,38.88103,-37.78828,-9.236606
118,335,52000,166,b'GALAXY',b'AGN',0.08337043,252.9688,51.05702,294.8833,90.78722,20.92205,55.79587,41.17383,-22.0384,-8.092577
119,336,51999,136,b'QSO',b'STARBURST BROADLINE',0.08346116,2468.759,562.9076,4336.556,1881.486,151.5477,433.7055,368.438,-39.324,-30.06522
120,336,51999,311,b'GALAXY',b'STARBURST',0.02298732,210.0334,66.26891,143.7494,20.07666,8.282987,40.05418,22.91191,-54.52487,-5.843091
121,337,51997,294,b'GALAXY',b'STARBURST',0.1214325,461.676,99.29588,26.44999,180.213,11.51125,69.50851,51.24806,-38.86272,-14.9554
122,338,51694,49,b'GALAXY',b'STARFORMING',0.07103291,366.2787,100.7098,28.81557,150.6732,15.06517,67.80056,52.35209,-23.91598,-9.973799
123,339,51692,221,b'GALAXY',b'STARFORMING',0.08549637,451.6876,106.5933,25.57414,139.8834,11.98164,69.6797,55.77996,-36.36652,-11.18326
124,340,51691,133,b'GALAXY',b'STARFORMING',0.1026271,297.3955,56.43515,19.47809,113.5039,12.91403,51.09022,32.687,-26.47913,-9.463297
125,340,51990,135,b'GALAXY',b'AGN',0.1831794,126.7996,33.18869,117.6058,131.2148,15.21927,40.57077,29.15592,-9.978203,-9.614278
126,340,51990,294,b'GALAXY',b'STARFORMING',0.08289386,466.6892,65.91833,26.38827,169.1072,16.05052,87.54196,46.56649,-35.88731,-12.74892
127,340,51691,500,b'GALAXY',b'STARBURST',0.08166442,1777.535,399.0425,212.4738,600.0161,41.93658,285.6054,202.4545,-96.07988,-31.96869
128,342,51691,81,b'GALAXY',b'STARBURST',0.1215098,3007.903,808.2234,3345.745,1187.87,182.1562,388.8358,355.6425,-194.867,-73.019
129,342,51691,242,b'GALAXY',b'STARBURST',0.02399611,419.5974,147.8895,324.6396,41.41538,9.117394,53.99238,37.41175,-45.42689,-4.478775
130,342,51691,450,b'GALAXY',b'STARBURST',0.03125086,1306.969,387.616,1103.261,114.6027,40.55,184.3465,120.3407,-89.95476,-7.981338
131,343,51692,158,b'GALAXY',b'STARFORMING',0.07386148,417.7265,106.7151,17.34339,150.1355,9.823814,62.51933,43.20227,-24.71087,-8.729794
132,344,51693,377,b'GALAXY',b'STARBURST',0.050244,1756.644,532.7183,883.0031,298.7865,51.50547,309.7153,226.3998,-102.7688,-17.79596
133,345,51690,2,b'GALAXY',b'',0.04935639,134.1893,41.93193,366.8887,163.912,15.97921,45.48919,36.34399,-5.287927,-6.35785
134,345,51690,54,b'GALAXY',b'STARBURST',0.2180257,955.8027,192.6791,166.8399,307.499,27.40419,142.1049,105.9438,-115.7201,-37.98339
135,345,51690,299,b'GALAXY',b'STARFORMING',0.05080388,299.5266,58.39016,23.1091,117.2612,16.47537,74.59442,51.93074,-15.91212,-6.119532
136,346,51693,603,b'GALAXY',b'STARFORMING',0.03223962,393.0973,97.16405,16.28447,148.7018,10.47631,64.62949,47.32701,-26.0499,-9.681375
137,348,51696,257,b'GALAXY',b'STARFORMING',0.06739697,341.681,65.18623,28.87751,165.3323,7.766315,48.89977,41.89476,-33.54308,-16.01223
138,348,51671,279,b'GALAXY',b'STARFORMING',0.04401696,881.501,175.6165,410.6715,421.3544,28.45573,126.1432,91.00332,-17.78683,-8.646466
139,348,51671,578,b'GALAXY',b'STARFORMING',0.08474916,147.1386,37.32544,39.05744,46.63615,11.42181,36.03286,26.43493,-15.02998,-4.678677
140,349,51699,51,b'GALAXY',b'STARFORMING',0.02772578,155.5033,53.6903,73.69882,19.92822,6.062278,37.44253,22.78508,-21.96454,-2.600126
141,349,51699,554,b'GALAXY',b'STARFORMING',0.01638305,475.842,138.6604,76.29408,141.7005,18.54205,118.5024,80.34987,-18.58196,-5.596443
142,349,51699,597,b'GALAXY',b'STARFORMING',0.08013906,453.1694,117.6798,26.12656,196.3815,7.377021,70.83639,56.58259,-33.18149,-14.36058
143,350,51691,18,b'GALAXY',b'STARBURST',0.07934567,473.5098,128.3741,74.99388,127.074,12.66236,96.41578,64.61794,-47.18821,-12.39176
144,350,51691,428,b'GALAXY',b'',0.05419626,170.4269,27.88838,52.98936,140.9122,18.99272,49.54181,31.87622,-4.062845,-3.209229
145,351,51780,160,b'GALAXY',b'STARFORMING',0.03106228,315.6128,95.52539,146.9282,57.60052,13.95005,69.30264,40.69603,-29.74354,-5.362275
146,351,51695,214,b'GALAXY',b'STARBURST',0.02839233,831.8108,221.7881,221.1158,168.2312,15.99531,157.879,106.2763,-75.25108,-15.16211
147,351,51695,265,b'GALAXY',b'STARBURST',0.1511175,399.5662,95.33565,38.03515,161.0413,11.16933,57.5507,41.07082,-69.11454,-28.32156
148,351,51695,296,b'GALAXY',b'STARFORMING',0.07090555,241.6979,70.43846,60.35558,53.89731,7.325193,48.09701,39.43865,-32.42549,-7.67706
149,352,51789,615,b'GALAXY',b'STARBURST',0.07796307,636.089,176.8608,357.9478,74.62615,23.49534,95.64559,80.79452,-81.7328,-10.00015
150,353,51703,244,b'GALAXY',b'STARFORMING',0.02246599,373.0317,118.7314,355.8765,29.67978,12.04758,44.98267,38.89567,-43.51885,-3.555584
151,353,51703,410,b'GALAXY',b'STARFORMING',0.07058947,270.3911,57.59044,30.3221,79.88157,13.2401,58.63301,40.70322,-16.9303,-4.908575
152,353,51703,564,b'GALAXY',b'STARFORMING',0.02458814,92.55491,29.84263,42.89846,13.69768,4.334515,24.0264,13.91161,-30.76144,-4.761839
153,353,51703,578,b'GALAXY',b'STARFORMING',0.02012252,759.0613,216.9096,320.3246,132.1752,24.34986,147.8593,113.0423,-36.90746,-6.397543
154,354,51792,84,b'GALAXY',b'STARFORMING',0.01822399,205.8239,64.03273,81.36134,33.76406,7.328547,44.61676,31.90835,-32.41531,-5.711946
155,354,51792,172,b'GALAXY',b'STARFORMING',0.0277038,332.5381,87.33461,128.8758,48.04481,8.65513,68.52969,44.6339,-36.96178,-5.259453
156,354,51792,275,b'GALAXY',b'STARBURST',0.02142936,1064.077,374.7759,1633.957,40.1697,14.20021,71.20584,51.74295,-140.6888,-5.989231
157,354,51792,374,b'GALAXY',b'STARFORMING',0.02756607,516.4567,101.5882,48.61094,284.2076,21.8067,119.492,98.45446,-17.09409,-9.526753
158,355,51788,195,b'GALAXY',b'STARBURST',0.06484608,869.3521,180.0269,204.3447,244.6757,34.97859,167.4384,115.8794,-80.03213,-22.55418
159,355,51788,213,b'GALAXY',b'STARFORMING',0.1236271,135.9281,30.33568,13.93632,81.75187,7.952374,35.98119,22.99852,-11.97798,-7.317696
160,357,51813,49,b'GALAXY',b'STARFORMING',0.02953681,124.7251,41.51405,32.0394,27.83291,5.785594,35.22136,22.94758,-20.12129,-4.172332
161,358,51818,98,b'GALAXY',b'STARFORMING',0.0635695,394.2736,83.16067,39.43792,179.6391,14.90485,78.95851,63.79017,-22.14061,-10.13818
162,358,51818,625,b'GALAXY',b'STARFORMING',0.06927665,468.0808,105.0378,38.94254,232.823,22.7235,93.28078,64.44821,-17.20611,-8.495446
163,359,51821,574,b'GALAXY',b'AGN',0.0818576,443.4742,65.98014,251.2143,501.7804,33.88243,83.61616,73.02982,-15.44887,-17.21811
164,359,51821,627,b'GALAXY',b'STARFORMING',0.1052365,378.0451,77.66451,21.91711,180.466,15.40076,50.50551,41.13179,-30.46367,-13.49186
165,360,51816,151,b'GALAXY',b'STARBURST',0.1115211,528.7972,142.0071,225.8774,129.7456,11.93832,72.33007,53.53646,-79.40952,-19.39295
166,363,51989,190,b'GALAXY',b'STARBURST',0.038165,308.6284,61.51411,52.38593,70.05339,11.13889,68.9311,47.73191,-38.70751,-9.853808
167,364,52000,31,b'GALAXY',b'STARFORMING',0.05920999,266.4739,49.65807,17.76648,98.35825,8.923308,36.4358,26.79257,-15.64363,-6.077144
168,364,52000,408,b'GALAXY',b'STARFORMING',0.03206984,750.8016,202.8818,129.177,239.398,20.30247,154.3661,110.4667,-39.63857,-12.74956
169,366,52017,227,b'GALAXY',b'STARFORMING',0.02954124,308.632,86.83929,20.76796,88.70683,7.673184,62.17897,43.61089,-34.88513,-10.10977
170,371,52078,410,b'GALAXY',b'STARFORMING',0.05037831,742.7512,133.4236,67.95467,385.1791,34.18001,150.3918,114.5994,-16.23687,-8.306298
171,371,52078,467,b'GALAXY',b'STARFORMING',0.02774078,322.765,104.1476,171.8315,44.68629,9.043064,73.5414,53.1888,-35.93789,-4.842764
172,373,51788,547,b'GALAXY',b'STARFORMING',0.193191,387.0923,77.8986,48.70081,181.3217,16.13321,50.28223,40.95744,-30.82455,-12.86669
173,374,51791,323,b'GALAXY',b'STARFORMING',0.04083726,442.3498,87.36434,20.27046,149.2835,14.95556,69.65845,49.40249,-22.74876,-7.744413
174,374,51791,428,b'GALAXY',b'AGN',0.08729491,200.7283,41.05103,81.65482,154.1266,17.78346,40.24734,48.49597,-15.07267,-10.82792
175,375,52140,63,b'GALAXY',b'AGN',0.1301927,394.419,103.1564,932.4825,416.227,35.86605,101.4539,81.1646,-30.02165,-29.24575
176,376,52143,136,b'GALAXY',b'STARFORMING',0.1293734,492.0839,109.6829,114.981,431.9297,28.17822,100.208,60.78405,-27.73423,-22.96217
177,377,52145,391,b'GALAXY',b'AGN BROADLINE',0.1276874,379.071,56.52234,77.63845,376.4464,41.35279,122.5746,103.7091,-20.80325,-18.70551
